
Metrics : Accuracy, Turn-Sim, Trajectory-Sim, Post-Clarification-Sim.


Size   Conv  Method           Acc               TurnSim           TrajSim           PostSim
3B     50    Dyn-Beta     0.4423+/-0.0096   0.5914+/-0.0078   0.6833+/-0.0028   0.3416+/-0.0476
3B     50    Beta-Filt    0.4500+/-0.0092   0.6135+/-0.0053   0.6761+/-0.0060   0.3535+/-0.0735
3B     50    UC-ACT       0.4769+/-0.0132   0.6086+/-0.0048   0.6962+/-0.0123   0.4481+/-0.0637
3B     50    IPO          0.4423+/-0.0127   0.6045+/-0.0028   0.6666+/-0.0102   0.3680+/-0.1008
3B     50    SimPO        0.4500+/-0.0081   0.6139+/-0.0043   0.6645+/-0.0092   0.2766+/-0.0569
3B     50    ORPO         0.4423+/-0.0088   0.6120+/-0.0052   0.6795+/-0.0066   0.3665+/-0.0586

3B     100   SFT          0.4846+/-0.0032   0.6017+/-0.0054   0.6567+/-0.0116   0.2265+/-0.0601
3B     100   Vanilla-DPO  0.4846+/-0.0070   0.6003+/-0.0029   0.6658+/-0.0046   0.1395+/-0.0817
3B     100   Dyn-Beta     0.4731+/-0.0069   0.6088+/-0.0074   0.6702+/-0.0051   0.1971+/-0.0767
3B     100   Beta-Filt    0.4769+/-0.0050   0.5897+/-0.0059   0.6615+/-0.0018   0.1675+/-0.0705
3B     100   UC-ACT       0.4923+/-0.0047   0.5914+/-0.0051   0.6816+/-0.0086   0.4511+/-0.0882
3B     100   IPO          0.4808+/-0.0047   0.5905+/-0.0024   0.6725+/-0.0069   0.2813+/-0.1224
3B     100   SimPO        0.4769+/-0.0052   0.6033+/-0.0053   0.6710+/-0.0034   0.0941+/-0.0949
3B     100   ORPO         0.4885+/-0.0044   0.5849+/-0.0103   0.6652+/-0.0083   0.1721+/-0.0994

3B     150   SFT          0.4692+/-0.0084   0.5619+/-0.0059   0.6388+/-0.0019   0.3135+/-0.0639
3B     150   Vanilla-DPO  0.4808+/-0.0061   0.5780+/-0.0045   0.6594+/-0.0035   0.1939+/-0.1007
3B     150   Dyn-Beta     0.4769+/-0.0075   0.5773+/-0.0039   0.6546+/-0.0042   0.2580+/-0.0432
3B     150   Beta-Filt    0.4846+/-0.0027   0.5767+/-0.0076   0.6524+/-0.0105   0.3511+/-0.1366
3B     150   UC-ACT       0.4885+/-0.0047   0.5794+/-0.0074   0.6596+/-0.0018   0.2180+/-0.0723
3B     150   IPO          0.4885+/-0.0069   0.5721+/-0.0040   0.6547+/-0.0090   0.0728+/-0.1348
3B     150   SimPO        0.4885+/-0.0050   0.5830+/-0.0071   0.6514+/-0.0068   0.1659+/-0.1826
3B     150   ORPO         0.4808+/-0.0072   0.5765+/-0.0084   0.6587+/-0.0043   0.0973+/-0.1051

================================================================================
Same table with values in percentage (x100)
================================================================================

Size   Conv  Method           Acc          TurnSim          TrajSim          PostSim
----   ----  -----------  -----------   -----------      -----------      -----------
0.5B   50    SFT          49.23+/-1.73  40.12+/-0.48     39.12+/-1.50     18.39+/-2.40
0.5B   50    Vanilla-DPO  50.00+/-0.39  43.54+/-0.13     44.17+/-0.77     21.38+/-2.99
0.5B   50    Dyn-Beta     48.46+/-0.98  44.70+/-0.66     45.21+/-1.16     12.13+/-4.58
0.5B   50    Beta-Filt    49.23+/-1.39  43.60+/-0.86     44.80+/-1.03     17.97+/-2.42
0.5B   50    UC-ACT       49.62+/-0.59  43.83+/-0.59     46.53+/-1.08     17.71+/-3.21
0.5B   50    IPO          49.62+/-0.32  43.46+/-0.50     45.64+/-0.60     13.02+/-4.13
0.5B   50    SimPO        50.38+/-0.55  43.86+/-0.82     46.99+/-1.13     16.94+/-2.23
0.5B   50    ORPO         47.69+/-1.79  42.77+/-0.94     44.68+/-0.72     24.58+/-2.57

0.5B   100   SFT          48.85+/-1.32  38.44+/-1.04     41.66+/-0.83     12.61+/-4.34
0.5B   100   Vanilla-DPO  49.23+/-0.92  46.70+/-1.19     53.19+/-1.19     25.79+/-3.99
0.5B   100   Dyn-Beta     48.85+/-0.80  48.56+/-0.93     53.33+/-0.39     28.00+/-5.38
0.5B   100   Beta-Filt    49.23+/-0.63  50.26+/-0.32     52.38+/-1.16     18.18+/-5.28
0.5B   100   UC-ACT       51.15+/-0.42  50.96+/-0.94     53.85+/-0.57     19.15+/-8.67
0.5B   100   IPO          50.00+/-0.50  49.88+/-0.39     53.03+/-1.16     15.56+/-9.80
0.5B   100   SimPO        49.23+/-0.74  48.72+/-0.89     52.64+/-0.46     29.05+/-3.64
0.5B   100   ORPO         50.38+/-1.29  49.48+/-0.30     54.61+/-0.85     36.48+/-10.42

0.5B   150   SFT          49.62+/-1.32  29.71+/-0.39     30.61+/-0.68     18.74+/-1.68
0.5B   150   Vanilla-DPO  48.85+/-1.04  34.18+/-0.89     37.35+/-1.15     24.98+/-10.48
0.5B   150   Dyn-Beta     49.62+/-0.96  35.42+/-0.55     38.13+/-0.77     20.22+/-4.18
0.5B   150   Beta-Filt    48.08+/-1.00  34.45+/-0.47     37.58+/-1.11     20.44+/-4.49
0.5B   150   UC-ACT       51.15+/-0.68  36.06+/-0.75     36.87+/-0.23     19.81+/-4.39
0.5B   150   IPO          49.62+/-0.98  35.33+/-0.63     38.08+/-0.36     33.79+/-7.33
0.5B   150   SimPO        48.85+/-0.80  35.30+/-0.86     36.90+/-0.89     26.59+/-5.64
0.5B   150   ORPO         48.46+/-0.74  37.14+/-1.06     36.95+/-0.37     29.77+/-6.20

1.5B   50    SFT          47.69+/-0.97  56.27+/-0.91     63.37+/-0.53     27.21+/-2.93
1.5B   50    Vanilla-DPO  46.15+/-1.04  56.71+/-0.58     62.46+/-0.68     20.48+/-6.42
1.5B   50    Dyn-Beta     46.92+/-0.97  58.52+/-0.32     61.66+/-1.49     16.41+/-5.81
1.5B   50    Beta-Filt    47.31+/-0.81  58.02+/-0.55     64.01+/-0.45     32.12+/-6.69
1.5B   50    UC-ACT       50.00+/-0.61  58.16+/-0.42     64.05+/-0.89     11.86+/-6.52
1.5B   50    IPO          46.92+/-1.62  57.80+/-0.68     62.34+/-1.15     22.75+/-5.15
1.5B   50    SimPO        48.08+/-0.69  57.85+/-0.67     63.24+/-0.49     19.04+/-6.42
1.5B   50    ORPO         48.46+/-0.63  57.66+/-0.34     64.70+/-1.03     16.88+/-5.62

1.5B   100   SFT          48.85+/-0.88  59.30+/-0.45     66.23+/-1.04     53.02+/-14.69
1.5B   100   Vanilla-DPO  48.85+/-0.92  59.66+/-0.38     66.61+/-0.65     34.27+/-7.67
1.5B   100   Dyn-Beta     49.23+/-0.70  58.48+/-0.67     66.13+/-0.67     25.63+/-4.65
1.5B   100   Beta-Filt    48.46+/-0.96  60.25+/-0.46     65.96+/-0.79     22.64+/-10.07
1.5B   100   UC-ACT       50.77+/-1.16  59.56+/-0.38     66.91+/-0.74     47.17+/-6.61
1.5B   100   IPO          48.85+/-1.42  59.84+/-0.13     67.01+/-1.04     23.25+/-3.72
1.5B   100   SimPO        49.23+/-0.50  59.07+/-0.42     66.12+/-0.41     27.77+/-6.96
1.5B   100   ORPO         51.54+/-0.86  58.54+/-0.50     64.95+/-0.64     23.96+/-5.13

1.5B   150   SFT          46.92+/-0.74  59.86+/-0.90     64.13+/-0.89     14.58+/-4.77
1.5B   150   Vanilla-DPO  47.31+/-0.84  60.77+/-0.87     65.88+/-1.20     22.21+/-3.86
1.5B   150   Dyn-Beta     48.08+/-1.22  61.17+/-0.68     66.19+/-0.56     21.09+/-3.56
1.5B   150   Beta-Filt    46.54+/-1.35  60.45+/-0.47     66.42+/-0.67     21.71+/-2.25
1.5B   150   UC-ACT       49.62+/-0.84  60.45+/-0.32     65.75+/-0.39     23.33+/-3.47
1.5B   150   IPO          48.46+/-1.20  59.20+/-0.89     65.04+/-1.11     16.44+/-1.81
1.5B   150   SimPO        47.69+/-0.57  59.60+/-0.68     64.90+/-0.47     12.72+/-5.82
1.5B   150   ORPO         47.69+/-1.07  59.76+/-0.41     64.76+/-0.59     17.05+/-3.14

3B     50    SFT          46.92+/-0.88  58.50+/-0.94     67.91+/-0.69     25.33+/-8.21
3B     50    Vanilla-DPO  45.00+/-0.58  60.52+/-0.26     67.72+/-1.04     31.27+/-4.74
3B     50    Dyn-Beta     44.23+/-0.96  59.14+/-0.78     68.33+/-0.28     34.16+/-4.76
3B     50    Beta-Filt    45.00+/-0.92  61.35+/-0.53     67.61+/-0.60     35.35+/-7.35
3B     50    UC-ACT       47.69+/-1.32  60.86+/-0.48     69.62+/-1.23     44.81+/-6.37
3B     50    IPO          44.23+/-1.27  60.45+/-0.28     66.66+/-1.02     36.80+/-10.08
3B     50    SimPO        45.00+/-0.81  61.39+/-0.43     66.45+/-0.92     27.66+/-5.69
3B     50    ORPO         44.23+/-0.88  61.20+/-0.52     67.95+/-0.66     36.65+/-5.86

3B     100   SFT          48.46+/-0.32  60.17+/-0.54     65.67+/-1.16     22.65+/-6.01
3B     100   Vanilla-DPO  48.46+/-0.70  60.03+/-0.29     66.58+/-0.46     13.95+/-8.17
