Model_Size,Conversation_Setting,Method,Run,Accuracy,Weighted_F1,Macro_F1,Binary_F1,Binary_Recall,Binary_Precision,Turn_F1,Trajectory_F1,Post_Clarification_F1
0.5B,50,UCP-Clarify,42,0.78600000,0.78053674,0.62259892,0.37426901,0.35164835,0.40000000,0.53886000,0.56198000,0.23362500
0.5B,50,UCP-Clarify,123,0.79000000,0.78131954,0.61894393,0.36363636,0.32967033,0.40540541,0.53360000,0.55106000,0.19864865
0.5B,50,UCP-Clarify,1337,0.78000000,0.77493315,0.61380744,0.36046512,0.34065934,0.38271605,0.54206000,0.55782000,0.24518519
0.5B,50,UCP-Clarify,2024,0.77800000,0.77233251,0.60849047,0.35087719,0.32967033,0.37500000,0.53540000,0.55096000,0.19750000
0.5B,50,IPO,7,0.79200000,0.78282460,0.62072587,0.36585366,0.32967033,0.41095890,0.53940000,0.57668000,0.28890411
0.5B,50,IPO,42,0.79400000,0.78548488,0.62620214,0.37575758,0.34065934,0.41891892,0.54320000,0.56396000,0.23959459
0.5B,50,IPO,123,0.79000000,0.78245962,0.62260353,0.37125749,0.34065934,0.40789474,0.53302000,0.55844000,0.22631579
0.5B,50,IPO,1337,0.79600000,0.78700105,0.62801961,0.37804878,0.34065934,0.42465753,0.53902000,0.56240000,0.19219178
0.5B,50,IPO,2024,0.80200000,0.79381557,0.64071856,0.40000000,0.36263736,0.44594595,0.53230000,0.56330000,0.24243243
0.5B,50,SimPO,7,0.77200000,0.76560113,0.59603118,0.32941176,0.30769231,0.35443038,0.54022000,0.55912000,0.23962025
0.5B,50,SimPO,42,0.79400000,0.79075394,0.64329004,0.41142857,0.39560440,0.42857143,0.54062000,0.56060000,0.25047619
0.5B,50,SimPO,123,0.79800000,0.78965023,0.63346035,0.38787879,0.35164835,0.43243243,0.53610000,0.56294000,0.19054054
0.5B,50,SimPO,1337,0.78800000,0.78095032,0.62082189,0.36904762,0.34065934,0.40259740,0.54092000,0.57446000,0.28571429
0.5B,50,SimPO,2024,0.79400000,0.78874098,0.63670737,0.39766082,0.37362637,0.42500000,0.54178000,0.55126000,0.18675000
0.5B,50,ORPO,7,0.80800000,0.80161538,0.65659341,0.42857143,0.39560440,0.46753247,0.53870000,0.56112000,0.24792208
0.5B,50,ORPO,42,0.79800000,0.79181079,0.64041328,0.40236686,0.37362637,0.43589744,0.54648000,0.55696000,0.21615385
0.5B,50,ORPO,123,0.79000000,0.78356568,0.62617222,0.37869822,0.35164835,0.41025641,0.53894000,0.56128000,0.24679487
0.5B,50,ORPO,1337,0.79200000,0.78397111,0.62439687,0.37349398,0.34065934,0.41333333,0.53988000,0.55154000,0.23933333
0.5B,50,ORPO,2024,0.77800000,0.77343341,0.61208072,0.35838150,0.34065934,0.37804878,0.53602000,0.55782000,0.23487805
0.5B,100,SFT,7,0.79800000,0.78965023,0.63346035,0.38787879,0.35164835,0.43243243,0.56608000,0.61760000,0.47891892
0.5B,100,SFT,42,0.80000000,0.79227991,0.63884314,0.39759036,0.36263736,0.44000000,0.55154000,0.60966000,0.45173333
0.5B,100,SFT,123,0.79200000,0.78282460,0.62072587,0.36585366,0.32967033,0.41095890,0.55300000,0.62220000,0.46397260
0.5B,100,SFT,1337,0.81200000,0.80574840,0.66374771,0.44047619,0.40659341,0.48051948,0.56288000,0.60510000,0.43974026
0.5B,100,SFT,2024,0.81200000,0.80574840,0.66374771,0.44047619,0.40659341,0.48051948,0.55712000,0.59668000,0.39948052
0.5B,100,Vanilla-DPO,7,0.79600000,0.78464643,0.62053571,0.36250000,0.31868132,0.42028986,0.55426000,0.60854000,0.46782609
0.5B,100,Vanilla-DPO,42,0.79800000,0.79074687,0.63698054,0.39520958,0.36263736,0.43421053,0.56226000,0.62142000,0.54565789
0.5B,100,Vanilla-DPO,123,0.81000000,0.80108289,0.65183866,0.41717791,0.37362637,0.47222222,0.55650000,0.60902000,0.50694444
0.5B,100,Vanilla-DPO,1337,0.81200000,0.80474312,0.66051255,0.43373494,0.39560440,0.48000000,0.55722000,0.60668000,0.45186667
0.5B,100,Vanilla-DPO,2024,0.80000000,0.78766048,0.62416188,0.36708861,0.31868132,0.43283582,0.55180000,0.60500000,0.44059701
0.5B,100,Dyn-Beta,7,0.80800000,0.79615406,0.63919541,0.39240506,0.34065934,0.46268657,0.55872000,0.61156000,0.49298507
0.5B,100,Dyn-Beta,42,0.81000000,0.80214625,0.65523498,0.42424242,0.38461538,0.47297297,0.55144000,0.60658000,0.41418919
0.5B,100,Dyn-Beta,123,0.80200000,0.79381557,0.64071856,0.40000000,0.36263736,0.44594595,0.55268000,0.61502000,0.48581081
0.5B,100,Dyn-Beta,1337,0.80000000,0.79117750,0.63531334,0.39024390,0.35164835,0.43835616,0.53890000,0.60446000,0.47630137
0.5B,100,Dyn-Beta,2024,0.80600000,0.79462135,0.63729911,0.38993711,0.34065934,0.45588235,0.55970000,0.61460000,0.49397059
0.5B,100,Conf-Filt,7,0.81200000,0.80040085,0.64671217,0.40506329,0.35164835,0.47761194,0.56410000,0.62346000,0.46552239
0.5B,100,Conf-Filt,42,0.80400000,0.79643431,0.64606628,0.40963855,0.37362637,0.45333333,0.55284000,0.61692000,0.46960000
0.5B,100,Conf-Filt,123,0.80200000,0.79270743,0.63717923,0.39263804,0.35164835,0.44444444,0.55100000,0.62120000,0.52305556
0.5B,100,Conf-Filt,1337,0.80400000,0.79535395,0.64260707,0.40243902,0.36263736,0.45205479,0.55714000,0.59938000,0.46260274
0.5B,100,Conf-Filt,2024,0.79800000,0.78851971,0.62984952,0.38036810,0.34065934,0.43055556,0.56134000,0.61978000,0.46388889
0.5B,100,UCP-Clarify,7,0.80000000,0.79227991,0.63884314,0.39759036,0.36263736,0.44000000,0.55604000,0.61226000,0.47893333
0.5B,100,UCP-Clarify,42,0.79800000,0.78491245,0.61843885,0.35668790,0.30769231,0.42424242,0.56444000,0.61138000,0.46015152
0.5B,100,UCP-Clarify,123,0.79600000,0.79027470,0.63855422,0.40000000,0.37362637,0.43037975,0.55048000,0.62362000,0.53898734
0.5B,100,UCP-Clarify,1337,0.79800000,0.78735410,0.62614470,0.37267081,0.32967033,0.42857143,0.55390000,0.60536000,0.46657143
0.5B,100,UCP-Clarify,2024,0.81200000,0.80153690,0.65029762,0.41250000,0.36263736,0.47826087,0.54960000,0.60804000,0.42637681
0.5B,100,IPO,7,0.79400000,0.77934919,0.60679519,0.33548387,0.28571429,0.40625000,0.56046000,0.61634000,0.51734375
0.5B,100,IPO,42,0.78600000,0.76938247,0.58716269,0.30065359,0.25274725,0.37096774,0.55656000,0.62670000,0.49403226
0.5B,100,IPO,123,0.80600000,0.79220263,0.62970032,0.37419355,0.31868132,0.45312500,0.55274000,0.60660000,0.51359375
0.5B,100,IPO,1337,0.80800000,0.78977693,0.61933765,0.35135135,0.28571429,0.45614035,0.55128000,0.62282000,0.54298246
0.5B,100,IPO,2024,0.79400000,0.78065329,0.61088318,0.34394904,0.29670330,0.40909091,0.56460000,0.61852000,0.51136364
0.5B,100,SimPO,7,0.79200000,0.77515293,0.59657398,0.31578947,0.26373626,0.39344262,0.55422000,0.62100000,0.48836066
0.5B,100,SimPO,42,0.79600000,0.78214218,0.61265038,0.34615385,0.29670330,0.41538462,0.55768000,0.61894000,0.50492308
0.5B,100,SimPO,123,0.80200000,0.78662490,0.61802903,0.35294118,0.29670330,0.43548387,0.55300000,0.62222000,0.47709677
0.5B,100,SimPO,1337,0.78600000,0.77078023,0.59152510,0.30967742,0.26373626,0.37500000,0.56692000,0.62184000,0.49875000
0.5B,100,SimPO,2024,0.78600000,0.77078023,0.59152510,0.30967742,0.26373626,0.37500000,0.55938000,0.61318000,0.45671875
0.5B,100,ORPO,7,0.80000000,0.79004096,0.63169215,0.38271605,0.34065934,0.43661972,0.55670000,0.61558000,0.52436620
0.5B,100,ORPO,42,0.80400000,0.78678275,0.61568627,0.34666667,0.28571429,0.44067797,0.55016000,0.61118000,0.44423729
0.5B,100,ORPO,123,0.79000000,0.77893248,0.61133855,0.34782609,0.30769231,0.40000000,0.55276000,0.61358000,0.48714286
0.5B,100,ORPO,1337,0.79800000,0.78095277,0.60608117,0.33112583,0.27472527,0.41666667,0.55382000,0.61674000,0.49483333
0.5B,100,ORPO,2024,0.80200000,0.78791815,0.62206528,0.36129032,0.30769231,0.43750000,0.56020000,0.61356000,0.49734375
0.5B,150,SFT,7,0.80800000,0.80261148,0.65981573,0.43529412,0.40659341,0.46835443,0.58074000,0.62828000,0.40227848
0.5B,150,SFT,42,0.81400000,0.80925156,0.67197850,0.45614035,0.42857143,0.48750000,0.59104000,0.62140000,0.39875000
0.5B,150,SFT,123,0.81200000,0.80672374,0.66690291,0.44705882,0.41758242,0.48101266,0.58436000,0.63016000,0.44265823
0.5B,150,SFT,1337,0.79000000,0.78568026,0.63304933,0.39306358,0.37362637,0.41463415,0.57798000,0.63108000,0.43621951
0.5B,150,SFT,2024,0.79800000,0.79181079,0.64041328,0.40236686,0.37362637,0.43589744,0.59274000,0.63386000,0.45282051
0.5B,150,Vanilla-DPO,7,0.80400000,0.79190727,0.63167864,0.37974684,0.32967033,0.44776119,0.57786000,0.61520000,0.39044776
0.5B,150,Vanilla-DPO,42,0.80600000,0.79689516,0.64450895,0.40490798,0.36263736,0.45833333,0.57138000,0.61180000,0.32708333
0.5B,150,Vanilla-DPO,123,0.82200000,0.80934056,0.66024050,0.42580645,0.36263736,0.51562500,0.56812000,0.61344000,0.33562500
0.5B,150,Vanilla-DPO,1337,0.81200000,0.80040085,0.64671217,0.40506329,0.35164835,0.47761194,0.58244000,0.63032000,0.41552239
0.5B,150,Vanilla-DPO,2024,0.81600000,0.80231764,0.64692518,0.40259740,0.34065934,0.49206349,0.58542000,0.61936000,0.30666667
0.5B,150,Dyn-Beta,7,0.82000000,0.80998214,0.66517857,0.43750000,0.38461538,0.50724638,0.57244000,0.62558000,0.38521739
0.5B,150,Dyn-Beta,42,0.81600000,0.80464764,0.65422893,0.41772152,0.36263736,0.49253731,0.57242000,0.63554000,0.45820896
0.5B,150,Dyn-Beta,123,0.81200000,0.80153690,0.65029762,0.41250000,0.36263736,0.47826087,0.57462000,0.61458000,0.35202899
0.5B,150,Dyn-Beta,1337,0.81400000,0.80631159,0.66249320,0.43636364,0.39560440,0.48648649,0.58146000,0.63808000,0.42175676
0.5B,150,Dyn-Beta,2024,0.81000000,0.79524612,0.63346220,0.37908497,0.31868132,0.46774194,0.57430000,0.63330000,0.43854839
0.5B,150,Conf-Filt,7,0.82000000,0.80661509,0.65460072,0.41558442,0.35164835,0.50793651,0.57490000,0.62242000,0.43349206
0.5B,150,Conf-Filt,42,0.80800000,0.79843932,0.64642447,0.40740741,0.36263736,0.46478873,0.57138000,0.62150000,0.40478873
0.5B,150,Conf-Filt,123,0.80400000,0.79309167,0.63541667,0.38750000,0.34065934,0.44927536,0.58128000,0.62462000,0.41956522
0.5B,150,Conf-Filt,1337,0.80800000,0.79843932,0.64642447,0.40740741,0.36263736,0.46478873,0.57210000,0.61558000,0.36661972
0.5B,150,Conf-Filt,2024,0.81000000,0.79998653,0.64835393,0.40993789,0.36263736,0.47142857,0.57594000,0.62424000,0.39985714
0.5B,150,UCP-Clarify,7,0.80400000,0.78812488,0.61984856,0.35526316,0.29670330,0.44262295,0.57562000,0.62478000,0.42901639
0.5B,150,UCP-Clarify,42,0.80800000,0.79372276,0.63157410,0.37662338,0.31868132,0.46031746,0.56650000,0.61186000,0.37333333
0.5B,150,UCP-Clarify,123,0.80400000,0.79535395,0.64260707,0.40243902,0.36263736,0.45205479,0.58060000,0.61756000,0.41191781
0.5B,150,UCP-Clarify,1337,0.81000000,0.79885596,0.64477748,0.40251572,0.35164835,0.47058824,0.57786000,0.62686000,0.34323529
0.5B,150,UCP-Clarify,2024,0.81800000,0.80732518,0.65973422,0.42767296,0.37362637,0.50000000,0.57766000,0.61950000,0.38485294
0.5B,150,IPO,7,0.80800000,0.80058871,0.65328942,0.42168675,0.38461538,0.46666667,0.57792000,0.62892000,0.41320000
0.5B,150,IPO,42,0.79800000,0.78851971,0.62984952,0.38036810,0.34065934,0.43055556,0.58610000,0.62442000,0.40361111
0.5B,150,IPO,123,0.79800000,0.78615212,0.62234237,0.36477987,0.31868132,0.42647059,0.57996000,0.61996000,0.38397059
0.5B,150,IPO,1337,0.80600000,0.79903412,0.65135755,0.41916168,0.38461538,0.46052632,0.57538000,0.63816000,0.45486842
0.5B,150,IPO,2024,0.79800000,0.78851971,0.62984952,0.38036810,0.34065934,0.43055556,0.57274000,0.62982000,0.40708333
0.5B,150,SimPO,7,0.79800000,0.78851971,0.62984952,0.38036810,0.34065934,0.43055556,0.58052000,0.61746000,0.36611111
0.5B,150,SimPO,42,0.82600000,0.81975226,0.68730007,0.47904192,0.43956044,0.52631579,0.58824000,0.63524000,0.48078947
0.5B,150,SimPO,123,0.81000000,0.80609166,0.66799701,0.45086705,0.42857143,0.47560976,0.58014000,0.61278000,0.37304878
0.5B,150,SimPO,1337,0.82000000,0.81401442,0.67805632,0.46428571,0.42857143,0.50649351,0.58666000,0.62372000,0.39298701
0.5B,150,SimPO,2024,0.81200000,0.80370685,0.65719454,0.42682927,0.38461538,0.47945205,0.58502000,0.64398000,0.47863014
0.5B,150,ORPO,7,0.81400000,0.80309057,0.65225585,0.41509434,0.36263736,0.48529412,0.56556000,0.64466000,0.52235294
0.5B,150,ORPO,42,0.82600000,0.82066870,0.69025698,0.48520710,0.45054945,0.52564103,0.57618000,0.62680000,0.45038462
0.5B,150,ORPO,123,0.82000000,0.81585440,0.68402427,0.47674419,0.45054945,0.50617284,0.57684000,0.62838000,0.46753086
0.5B,150,ORPO,1337,0.81200000,0.80672374,0.66690291,0.44705882,0.41758242,0.48101266,0.57716000,0.62636000,0.42987342
0.5B,150,ORPO,2024,0.80800000,0.80261148,0.65981573,0.43529412,0.40659341,0.46835443,0.58140000,0.61854000,0.41658228
1.5B,50,SFT,7,0.79000000,0.78463886,0.62965314,0.38596491,0.36263736,0.41250000,0.58788000,0.62776000,0.36800000
1.5B,50,SFT,42,0.78200000,0.77751570,0.61907025,0.36994220,0.35164835,0.39024390,0.58262000,0.62422000,0.38902439
1.5B,50,SFT,123,0.78600000,0.77944312,0.61905169,0.36686391,0.34065934,0.39743590,0.59218000,0.62156000,0.35115385
1.5B,50,SFT,1337,0.79000000,0.78463886,0.62965314,0.38596491,0.36263736,0.41250000,0.58550000,0.62422000,0.36825000
1.5B,50,SFT,2024,0.78800000,0.78515821,0.63454325,0.39772727,0.38461538,0.41176471,0.57620000,0.62180000,0.38223529
1.5B,50,Vanilla-DPO,7,0.77800000,0.77233251,0.60849047,0.35087719,0.32967033,0.37500000,0.57880000,0.63824000,0.38612500
1.5B,50,Vanilla-DPO,42,0.79400000,0.78660324,0.62979204,0.38323353,0.35164835,0.42105263,0.57414000,0.64458000,0.42171053
1.5B,50,Vanilla-DPO,123,0.78200000,0.77532056,0.61193116,0.35502959,0.32967033,0.38461538,0.58200000,0.63730000,0.42961538
1.5B,50,Vanilla-DPO,1337,0.79000000,0.78245962,0.62260353,0.37125749,0.34065934,0.40789474,0.59044000,0.63468000,0.41565789
1.5B,50,Vanilla-DPO,2024,0.77800000,0.77233251,0.60849047,0.35087719,0.32967033,0.37500000,0.58864000,0.63728000,0.39975000
1.5B,50,Dyn-Beta,7,0.78400000,0.77793792,0.61729270,0.36470588,0.34065934,0.39240506,0.58554000,0.61802000,0.38645570
1.5B,50,Dyn-Beta,42,0.77800000,0.77343341,0.61208072,0.35838150,0.34065934,0.37804878,0.57642000,0.63544000,0.38365854
1.5B,50,Dyn-Beta,123,0.79200000,0.78822565,0.63819543,0.40229885,0.38461538,0.42168675,0.57916000,0.65000000,0.43000000
1.5B,50,Dyn-Beta,1337,0.79400000,0.78976254,0.64003886,0.40462428,0.38461538,0.42682927,0.58022000,0.63158000,0.41475610
1.5B,50,Dyn-Beta,2024,0.78600000,0.78053674,0.62259892,0.37426901,0.35164835,0.40000000,0.58898000,0.63572000,0.35962500
1.5B,50,Conf-Filt,7,0.77800000,0.76882352,0.59716930,0.32727273,0.29670330,0.36486486,0.57840000,0.64804000,0.39324324
1.5B,50,Conf-Filt,42,0.78400000,0.78209858,0.63093578,0.39325843,0.38461538,0.40229885,0.59102000,0.63742000,0.41436782
1.5B,50,Conf-Filt,123,0.79600000,0.78921635,0.63513049,0.39285714,0.36263736,0.42857143,0.59142000,0.64788000,0.43792208
1.5B,50,Conf-Filt,1337,0.78200000,0.77643462,0.61554469,0.36257310,0.34065934,0.38750000,0.58964000,0.63580000,0.41800000
1.5B,50,Conf-Filt,2024,0.79000000,0.78568026,0.63304933,0.39306358,0.37362637,0.41463415,0.58770000,0.63638000,0.45170732
1.5B,50,UCP-Clarify,7,0.77600000,0.76855128,0.59935897,0.33333333,0.30769231,0.36363636,0.58214000,0.62896000,0.39233766
1.5B,50,UCP-Clarify,42,0.79000000,0.78568026,0.63304933,0.39306358,0.37362637,0.41463415,0.58060000,0.64344000,0.43024390
1.5B,50,UCP-Clarify,123,0.78400000,0.78008049,0.62427987,0.37931034,0.36263736,0.39759036,0.58866000,0.64428000,0.42325301
1.5B,50,UCP-Clarify,1337,0.78600000,0.77944312,0.61905169,0.36686391,0.34065934,0.39743590,0.57446000,0.63186000,0.39551282
1.5B,50,UCP-Clarify,2024,0.78400000,0.77793792,0.61729270,0.36470588,0.34065934,0.39240506,0.57860000,0.64390000,0.41632911
1.5B,50,IPO,7,0.79000000,0.78862390,0.64275750,0.41340782,0.40659341,0.42045455,0.57506000,0.64258000,0.46068182
1.5B,50,IPO,42,0.76600000,0.76446663,0.60192979,0.34636872,0.34065934,0.35227273,0.57706000,0.63202000,0.42147727
1.5B,50,IPO,123,0.78400000,0.77902528,0.62082912,0.37209302,0.35164835,0.39506173,0.58748000,0.63348000,0.44432099
1.5B,50,IPO,1337,0.78400000,0.77793792,0.61729270,0.36470588,0.34065934,0.39240506,0.57794000,0.62568000,0.44632911
1.5B,50,IPO,2024,0.79000000,0.78463886,0.62965314,0.38596491,0.36263736,0.41250000,0.58196000,0.63722000,0.43800000
1.5B,50,SimPO,7,0.79000000,0.78356568,0.62617222,0.37869822,0.35164835,0.41025641,0.56706000,0.63268000,0.37435897
1.5B,50,SimPO,42,0.78600000,0.78262788,0.62943723,0.38857143,0.37362637,0.40476190,0.58068000,0.62780000,0.42630952
1.5B,50,SimPO,123,0.78000000,0.77600790,0.61732209,0.36781609,0.35164835,0.38554217,0.58900000,0.62296000,0.42385542
1.5B,50,SimPO,1337,0.79000000,0.78669091,0.63636364,0.40000000,0.38461538,0.41666667,0.58800000,0.63424000,0.39833333
1.5B,50,SimPO,2024,0.79800000,0.79074687,0.63698054,0.39520958,0.36263736,0.43421053,0.58404000,0.62612000,0.42065789
1.5B,50,ORPO,7,0.77600000,0.77084103,0.60678575,0.34883721,0.32967033,0.37037037,0.58274000,0.63006000,0.42320988
1.5B,50,ORPO,42,0.79800000,0.79284309,0.64376160,0.40935673,0.38461538,0.43750000,0.56496000,0.63196000,0.40975000
1.5B,50,ORPO,123,0.78800000,0.78515821,0.63454325,0.39772727,0.38461538,0.41176471,0.57522000,0.62820000,0.40670588
1.5B,50,ORPO,1337,0.79000000,0.78245962,0.62260353,0.37125749,0.34065934,0.40789474,0.57480000,0.63148000,0.44236842
1.5B,50,ORPO,2024,0.78000000,0.77493315,0.61380744,0.36046512,0.34065934,0.38271605,0.57422000,0.64606000,0.47641975
1.5B,100,SFT,7,0.80200000,0.79489050,0.64416904,0.40718563,0.37362637,0.44736842,0.60928000,0.65364000,0.49789474
1.5B,100,SFT,42,0.81600000,0.80683768,0.66115678,0.43209877,0.38461538,0.49295775,0.60788000,0.66978000,0.53140845
1.5B,100,SFT,123,0.80400000,0.79424014,0.63905831,0.39506173,0.35164835,0.45070423,0.59660000,0.65006000,0.51408451
1.5B,100,SFT,1337,0.78200000,0.77751570,0.61907025,0.36994220,0.35164835,0.39024390,0.60550000,0.64234000,0.42146341
1.5B,100,SFT,2024,0.81600000,0.80464764,0.65422893,0.41772152,0.36263736,0.49253731,0.60152000,0.65550000,0.47716418
1.5B,100,Vanilla-DPO,7,0.82000000,0.81103686,0.66852294,0.44444444,0.39560440,0.50704225,0.60526000,0.65736000,0.51267606
1.5B,100,Vanilla-DPO,42,0.83200000,0.82265000,0.68750000,0.47500000,0.41758242,0.55072464,0.61384000,0.66582000,0.52608696
1.5B,100,Vanilla-DPO,123,0.81600000,0.80464764,0.65422893,0.41772152,0.36263736,0.49253731,0.61148000,0.66212000,0.52701493
1.5B,100,Vanilla-DPO,1337,0.83000000,0.81790952,0.67551059,0.45161290,0.38461538,0.54687500,0.60576000,0.66458000,0.55765625
1.5B,100,Vanilla-DPO,2024,0.81000000,0.79768993,0.64110585,0.39490446,0.34065934,0.46969697,0.60666000,0.66108000,0.52484848
1.5B,100,Dyn-Beta,7,0.81800000,0.80386734,0.64889537,0.40522876,0.34065934,0.50000000,0.60440000,0.66986000,0.51854839
1.5B,100,Dyn-Beta,42,0.80600000,0.79798091,0.64797677,0.41212121,0.37362637,0.45945946,0.60884000,0.65788000,0.48216216
1.5B,100,Dyn-Beta,123,0.81200000,0.80574840,0.66374771,0.44047619,0.40659341,0.48051948,0.60008000,0.65516000,0.51948052
1.5B,100,Dyn-Beta,1337,0.79800000,0.78965023,0.63346035,0.38787879,0.35164835,0.43243243,0.59888000,0.64964000,0.45148649
1.5B,100,Dyn-Beta,2024,0.81600000,0.80575952,0.65773810,0.42500000,0.37362637,0.49275362,0.60370000,0.65850000,0.51289855
1.5B,100,Conf-Filt,7,0.80800000,0.79843932,0.64642447,0.40740741,0.36263736,0.46478873,0.60676000,0.66768000,0.50225352
1.5B,100,Conf-Filt,42,0.81800000,0.80620825,0.65621718,0.42038217,0.36263736,0.50000000,0.60152000,0.66192000,0.49530303
1.5B,100,Conf-Filt,123,0.81600000,0.80683768,0.66115678,0.43209877,0.38461538,0.49295775,0.59540000,0.64276000,0.46830986
1.5B,100,Conf-Filt,1337,0.81400000,0.80732138,0.66573456,0.44311377,0.40659341,0.48684211,0.61230000,0.65854000,0.47578947
1.5B,100,Conf-Filt,2024,0.80000000,0.79438696,0.64564139,0.41176471,0.38461538,0.44303797,0.61010000,0.65988000,0.48772152
1.5B,100,UCP-Clarify,7,0.82000000,0.81305192,0.67495883,0.45783133,0.41758242,0.50666667,0.60308000,0.66364000,0.48586667
1.5B,100,UCP-Clarify,42,0.80400000,0.79748237,0.64943910,0.41666667,0.38461538,0.45454545,0.60728000,0.65616000,0.46818182
1.5B,100,UCP-Clarify,123,0.82000000,0.80998214,0.66517857,0.43750000,0.38461538,0.50724638,0.60932000,0.66548000,0.56608696
1.5B,100,UCP-Clarify,1337,0.81600000,0.80788330,0.66448827,0.43902439,0.39560440,0.49315068,0.60604000,0.65716000,0.46205479
1.5B,100,UCP-Clarify,2024,0.80400000,0.79643431,0.64606628,0.40963855,0.37362637,0.45333333,0.61570000,0.65964000,0.49200000
1.5B,100,IPO,7,0.81600000,0.80889752,0.66773569,0.44578313,0.40659341,0.49333333,0.61316000,0.66036000,0.55026667
1.5B,100,IPO,42,0.82000000,0.81103686,0.66852294,0.44444444,0.39560440,0.50704225,0.61578000,0.65206000,0.46788732
1.5B,100,IPO,123,0.82400000,0.81091253,0.66227626,0.42857143,0.36263736,0.52380952,0.61280000,0.67418000,0.54047619
1.5B,100,IPO,1337,0.81800000,0.81047694,0.66975141,0.44848485,0.40659341,0.50000000,0.61228000,0.65758000,0.42783784
1.5B,100,IPO,2024,0.81000000,0.79885596,0.64477748,0.40251572,0.35164835,0.47058824,0.59258000,0.66016000,0.50705882
1.5B,100,SimPO,7,0.79600000,0.78584177,0.62432600,0.37037037,0.32967033,0.42253521,0.60880000,0.65464000,0.46507042
1.5B,100,SimPO,42,0.81800000,0.80505608,0.65260546,0.41290323,0.35164835,0.50000000,0.59820000,0.65536000,0.49968750
