Model_Size,Conversation_Setting,Method,Run,Accuracy,Weighted_F1,Macro_F1,Binary_F1,Binary_Recall,Binary_Precision,Turn_F1,Trajectory_F1,Post_Clarification_F1
1.5B,150,ORPO,42,0.80200000,0.79270743,0.63717923,0.39263804,0.35164835,0.44444444,0.62512000,0.67088000,0.41763889
1.5B,150,ORPO,123,0.80600000,0.79798091,0.64797677,0.41212121,0.37362637,0.45945946,0.62748000,0.68412000,0.52837838
1.5B,150,ORPO,1337,0.82600000,0.81579440,0.67469096,0.45283019,0.39560440,0.52941176,0.61854000,0.68714000,0.48367647
1.5B,150,ORPO,2024,0.80800000,0.80058871,0.65328942,0.42168675,0.38461538,0.46666667,0.62294000,0.67880000,0.47280000
3B,50,SFT,7,0.77400000,0.77149442,0.61213968,0.36158192,0.35164835,0.37209302,0.60332000,0.63536000,0.38430233
3B,50,SFT,42,0.78200000,0.77958312,0.62586925,0.38418079,0.37362637,0.39534884,0.60178000,0.63886000,0.39337209
3B,50,SFT,123,0.78600000,0.78159798,0.62605979,0.38150289,0.36263736,0.40243902,0.59778000,0.65342000,0.41048780
3B,50,SFT,1337,0.79400000,0.78768823,0.63329275,0.39053254,0.36263736,0.42307692,0.60370000,0.63492000,0.35461538
3B,50,SFT,2024,0.78000000,0.77705097,0.62075243,0.37500000,0.36263736,0.38823529,0.59518000,0.63484000,0.36823529
3B,50,Vanilla-DPO,7,0.77200000,0.76786274,0.60340653,0.34482759,0.32967033,0.36144578,0.60112000,0.63942000,0.39879518
3B,50,Vanilla-DPO,42,0.80200000,0.79593335,0.64753380,0.41420118,0.38461538,0.44871795,0.59690000,0.64282000,0.34512821
3B,50,Vanilla-DPO,123,0.78400000,0.77793792,0.61729270,0.36470588,0.34065934,0.39240506,0.59576000,0.64814000,0.38202532
3B,50,Vanilla-DPO,1337,0.79800000,0.78965023,0.63346035,0.38787879,0.35164835,0.43243243,0.59808000,0.64246000,0.38891892
3B,50,Vanilla-DPO,2024,0.78600000,0.78053674,0.62259892,0.37426901,0.35164835,0.40000000,0.59434000,0.65084000,0.39750000
3B,50,Dyn-Beta,7,0.77400000,0.76935113,0.60509118,0.34682081,0.32967033,0.36585366,0.60492000,0.63402000,0.34536585
3B,50,Dyn-Beta,42,0.78600000,0.78053674,0.62259892,0.37426901,0.35164835,0.40000000,0.59884000,0.63968000,0.30087500
3B,50,Dyn-Beta,123,0.78400000,0.78008049,0.62427987,0.37931034,0.36263736,0.39759036,0.59616000,0.64368000,0.37156627
3B,50,Dyn-Beta,1337,0.78400000,0.77793792,0.61729270,0.36470588,0.34065934,0.39240506,0.59986000,0.63494000,0.35341772
3B,50,Dyn-Beta,2024,0.78000000,0.77493315,0.61380744,0.36046512,0.34065934,0.38271605,0.60384000,0.64680000,0.35259259
3B,50,Conf-Filt,7,0.77200000,0.76441827,0.59220467,0.32142857,0.29670330,0.35064935,0.59816000,0.63728000,0.36883117
3B,50,Conf-Filt,42,0.79200000,0.78616244,0.63146704,0.38823529,0.36263736,0.41772152,0.59544000,0.64324000,0.38873418
3B,50,Conf-Filt,123,0.78000000,0.77806337,0.62410126,0.38202247,0.37362637,0.39080460,0.59640000,0.64484000,0.36896552
3B,50,Conf-Filt,1337,0.78600000,0.77944312,0.61905169,0.36686391,0.34065934,0.39743590,0.59534000,0.63306000,0.35858974
3B,50,Conf-Filt,2024,0.78000000,0.77600790,0.61732209,0.36781609,0.35164835,0.38554217,0.59982000,0.64820000,0.41000000
3B,50,UCP-Clarify,7,0.78200000,0.77751570,0.61907025,0.36994220,0.35164835,0.39024390,0.60118000,0.64348000,0.39012195
3B,50,UCP-Clarify,42,0.79000000,0.78463886,0.62965314,0.38596491,0.36263736,0.41250000,0.60646000,0.65102000,0.40462500
3B,50,UCP-Clarify,123,0.79200000,0.78921183,0.64143866,0.40909091,0.39560440,0.42352941,0.60076000,0.65160000,0.41211765
3B,50,UCP-Clarify,1337,0.79200000,0.78042381,0.61309524,0.35000000,0.30769231,0.40579710,0.59896000,0.64776000,0.39391304
3B,50,UCP-Clarify,2024,0.78000000,0.77493315,0.61380744,0.36046512,0.34065934,0.38271605,0.60176000,0.64724000,0.39790123
3B,50,IPO,7,0.77800000,0.77233251,0.60849047,0.35087719,0.32967033,0.37500000,0.59650000,0.62494000,0.35262500
3B,50,IPO,42,0.79400000,0.78768823,0.63329275,0.39053254,0.36263736,0.42307692,0.59968000,0.63966000,0.38487179
3B,50,IPO,123,0.80600000,0.80005591,0.65465433,0.42603550,0.39560440,0.46153846,0.59224000,0.63172000,0.32666667
3B,50,IPO,1337,0.78600000,0.78262788,0.62943723,0.38857143,0.37362637,0.40476190,0.60478000,0.62630000,0.31119048
3B,50,IPO,2024,0.78600000,0.78159798,0.62605979,0.38150289,0.36263736,0.40243902,0.59864000,0.62742000,0.30182927
3B,50,SimPO,7,0.78400000,0.77793792,0.61729270,0.36470588,0.34065934,0.39240506,0.60076000,0.64258000,0.35746835
3B,50,SimPO,42,0.77200000,0.76674890,0.59976407,0.33720930,0.31868132,0.35802469,0.59676000,0.62902000,0.33456790
3B,50,SimPO,123,0.78600000,0.78159798,0.62605979,0.38150289,0.36263736,0.40243902,0.59998000,0.63212000,0.34939024
3B,50,SimPO,1337,0.78400000,0.77681731,0.61366758,0.35714286,0.32967033,0.38961039,0.60200000,0.64230000,0.38441558
3B,50,SimPO,2024,0.78800000,0.78415307,0.63123765,0.39080460,0.37362637,0.40963855,0.59364000,0.64948000,0.44120482
3B,50,ORPO,7,0.79400000,0.78660324,0.62979204,0.38323353,0.35164835,0.42105263,0.59362000,0.63072000,0.35736842
3B,50,ORPO,42,0.79000000,0.78245962,0.62260353,0.37125749,0.34065934,0.40789474,0.59496000,0.63800000,0.38157895
3B,50,ORPO,123,0.79200000,0.78397111,0.62439687,0.37349398,0.34065934,0.41333333,0.59412000,0.64542000,0.39120000
3B,50,ORPO,1337,0.77200000,0.76786274,0.60340653,0.34482759,0.32967033,0.36144578,0.60226000,0.63802000,0.35759036
3B,50,ORPO,2024,0.78400000,0.77681731,0.61366758,0.35714286,0.32967033,0.38961039,0.58932000,0.63254000,0.31298701
3B,100,SFT,7,0.83000000,0.82297296,0.69152604,0.48484848,0.43956044,0.54054054,0.65382000,0.68128000,0.44094595
