
Metrics : Accuracy, Turn-F1, Trajectory-F1, Post-Clarification F1.


Size   Conv  Method           Acc               TurnF1            TrajF1            PostF1
----   ----  -----------  ---------------   ---------------   ---------------   ---------------
3B     50    Dyn-Beta     0.7880+/-0.0048   0.5996+/-0.0036   0.6352+/-0.0055   0.3342+/-0.0264
3B     50    Beta-Filt    0.7820+/-0.0075   0.5858+/-0.0019   0.6415+/-0.0061   0.3686+/-0.0205
3B     50    UC-ACT       0.7980+/-0.0058   0.5986+/-0.0028   0.6510+/-0.0033   0.4024+/-0.0088
3B     50    IPO          0.7860+/-0.0106   0.5957+/-0.0046   0.6391+/-0.0060   0.3451+/-0.0337
3B     50    SimPO        0.7720+/-0.0063   0.5968+/-0.0034   0.6290+/-0.0084   0.3346+/-0.0420
3B     50    ORPO         0.7720+/-0.0089   0.6023+/-0.0047   0.6380+/-0.0057   0.3576+/-0.0303

3B     100   SFT          0.7800+/-0.0065   0.3674+/-0.0025   0.3598+/-0.0060   0.0724+/-0.0102
3B     100   Vanilla-DPO  0.8220+/-0.0089   0.6422+/-0.0042   0.6881+/-0.0042   0.5021+/-0.0264
3B     100   Dyn-Beta     0.8340+/-0.0084   0.6533+/-0.0042   0.6811+/-0.0107   0.4429+/-0.0216
3B     100   Beta-Filt    0.8300+/-0.0086   0.6461+/-0.0027   0.7036+/-0.0081   0.5092+/-0.0355
3B     100   UC-ACT       0.8360+/-0.0079   0.6527+/-0.0060   0.6900+/-0.0067   0.4382+/-0.0479
3B     100   IPO          0.8200+/-0.0077   0.6441+/-0.0061   0.6974+/-0.0082   0.5384+/-0.0435
3B     100   SimPO        0.8280+/-0.0050   0.6400+/-0.0024   0.6745+/-0.0072   0.4307+/-0.0415
3B     100   ORPO         0.8360+/-0.0023   0.6507+/-0.0042   0.6799+/-0.0057   0.4229+/-0.0399

3B     150   SFT          0.7920+/-0.0091   0.3664+/-0.0020   0.3565+/-0.0062   0.0919+/-0.0352
3B     150   Vanilla-DPO  0.8180+/-0.0046   0.6397+/-0.0023   0.6920+/-0.0055   0.5115+/-0.0216
3B     150   Dyn-Beta     0.8160+/-0.0098   0.6347+/-0.0040   0.6978+/-0.0051   0.5837+/-0.0226
3B     150   Beta-Filt    0.8180+/-0.0069   0.6414+/-0.0036   0.6972+/-0.0051   0.5105+/-0.0581
3B     150   UC-ACT       0.8260+/-0.0050   0.6462+/-0.0043   0.6939+/-0.0055   0.5414+/-0.0374
3B     150   IPO          0.8060+/-0.0076   0.6404+/-0.0056   0.6814+/-0.0097   0.4756+/-0.0521
3B     150   SimPO        0.8160+/-0.0064   0.6400+/-0.0041   0.6868+/-0.0033   0.5107+/-0.0234
3B     150   ORPO         0.8160+/-0.0060   0.6359+/-0.0078   0.6934+/-0.0040   0.5354+/-0.0233

================================================================================
Same table with values in percentage (x100)
================================================================================

Size   Conv  Method           Acc          TurnF1           TrajF1           PostF1
----   ----  -----------  -----------   -----------      -----------      -----------
0.5B   50    SFT          73.40+/-0.50  35.20+/-0.24     33.52+/-1.23      3.92+/-1.02
0.5B   50    Vanilla-DPO  79.40+/-0.91  53.25+/-0.55     55.27+/-0.78     19.70+/-4.62
0.5B   50    Dyn-Beta     79.60+/-0.73  53.61+/-0.60     53.96+/-0.80     15.71+/-3.97
0.5B   50    Beta-Filt    80.40+/-0.51  53.96+/-0.36     55.73+/-0.87     20.37+/-4.18
0.5B   50    UC-ACT       78.60+/-0.49  53.52+/-0.48     55.74+/-0.55     24.10+/-2.61
0.5B   50    IPO          79.00+/-0.46  53.30+/-0.46     55.84+/-0.69     22.63+/-3.48
0.5B   50    SimPO        77.40+/-1.03  53.38+/-0.22     54.14+/-0.84     18.82+/-4.20
0.5B   50    ORPO         77.80+/-1.10  53.60+/-0.39     55.78+/-0.40     23.49+/-1.28

0.5B   100   SFT          73.00+/-0.84  36.44+/-0.71     32.76+/-0.82      3.47+/-1.80
0.5B   100   Vanilla-DPO  79.80+/-0.73  55.71+/-0.39     60.00+/-0.65     42.58+/-4.33
