Model_Size,Method,Conversation_Setting,Run,Accuracy,Weighted_F1,Macro_F1,Binary_F1,Binary_Recall,Binary_Precision,Turn_Level_SBERT,Trajectory_SBERT,Post_Clarification_SBERT,Post_Clarification_Count
1.5B,SimPO,100,1,0.54615385,0.44720721,0.44720721,0.21333333,0.12307692,0.80000000,0.67329455,0.72627842,0.23337336,20
1.5B,SimPO,100,2,0.55000000,0.44970061,0.44970061,0.21476510,0.12307692,0.84210526,0.66763591,0.73364487,0.25606647,19
1.5B,SimPO,100,3,0.54615385,0.44720721,0.44720721,0.21333333,0.12307692,0.80000000,0.67183875,0.72887522,0.24586924,20
1.5B,SimPO,100,4,0.53846154,0.42861329,0.42861329,0.17808219,0.10000000,0.81250000,0.66193676,0.72876555,0.31242561,16
1.5B,SimPO,100,5,0.55769231,0.45910744,0.45910744,0.22818792,0.13076923,0.89473684,0.67778356,0.71947970,0.22771900,19
1.5B,SimPO,150,1,0.59615385,0.53393086,0.53393086,0.36363636,0.23076923,0.85714286,0.66464344,0.69003668,0.21427437,35
1.5B,SimPO,150,2,0.58461538,0.51904631,0.51904631,0.34146341,0.21538462,0.82352941,0.65970103,0.68800937,0.17379762,34
1.5B,SimPO,150,3,0.58461538,0.51250000,0.51250000,0.32500000,0.20000000,0.86666667,0.66507294,0.69976610,0.26659584,30
1.5B,SimPO,150,4,0.58846154,0.52505335,0.52505335,0.35151515,0.22307692,0.82857143,0.66356897,0.68816947,0.23156149,35
1.5B,SimPO,150,5,0.59615385,0.53085529,0.53085529,0.35582822,0.22307692,0.87878788,0.65487204,0.70468057,0.24263709,33
1.5B,ORPO,50,1,0.52307692,0.39398496,0.39398496,0.11428571,0.06153846,0.80000000,0.65824739,0.72318883,0.25222756,10
1.5B,ORPO,50,2,0.52692308,0.40156066,0.40156066,0.12765957,0.06923077,0.81818182,0.66001675,0.72864746,0.32049796,11
1.5B,ORPO,50,3,0.52307692,0.39398496,0.39398496,0.11428571,0.06153846,0.80000000,0.66061673,0.72827908,0.32249588,10
1.5B,ORPO,50,4,0.51923077,0.38631772,0.38631772,0.10071942,0.05384615,0.77777778,0.66702891,0.72664268,0.32890050,9
1.5B,ORPO,50,5,0.52692308,0.40156066,0.40156066,0.12765957,0.06923077,0.81818182,0.65615040,0.73675830,0.42481424,11
1.5B,ORPO,100,1,0.54230769,0.43572067,0.43572067,0.19047619,0.10769231,0.82352941,0.66759489,0.72983120,0.28797787,17
1.5B,ORPO,100,2,0.53846154,0.42861329,0.42861329,0.17808219,0.10000000,0.81250000,0.67623336,0.72820368,0.21213614,16
1.5B,ORPO,100,3,0.54615385,0.43336288,0.43336288,0.18055556,0.10000000,0.92857143,0.67636802,0.73426329,0.20109250,14
1.5B,ORPO,100,4,0.54230769,0.43572067,0.43572067,0.19047619,0.10769231,0.82352941,0.66810073,0.72807183,0.32639193,17
1.5B,ORPO,100,5,0.53846154,0.42861329,0.42861329,0.17808219,0.10000000,0.81250000,0.67042783,0.73280290,0.21969185,16
1.5B,ORPO,150,1,0.56923077,0.49444444,0.49444444,0.30000000,0.18461538,0.80000000,0.67072926,0.70457401,0.21538726,30
1.5B,ORPO,150,2,0.57692308,0.50686254,0.50686254,0.32098765,0.20000000,0.81250000,0.66281044,0.69803345,0.26769302,32
