Model_Size,Method,Conversation_Setting,Run,Accuracy,Weighted_F1,Macro_F1,Binary_F1,Binary_Recall,Binary_Precision,Turn_Level_SBERT,Trajectory_SBERT,Post_Clarification_SBERT,Post_Clarification_Count
0.5B,UCP-Clarify,100,5,0.55000000,0.45824651,0.45824651,0.23529412,0.13846154,0.78260870,0.63362973,0.68127084,0.33858155,23
0.5B,UCP-Clarify,150,1,0.54230769,0.42102210,0.42102210,0.15602837,0.08461538,1.00000000,0.64922751,0.70157231,0.14630902,11
0.5B,UCP-Clarify,150,2,0.55000000,0.44055172,0.44055172,0.19310345,0.10769231,0.93333333,0.65087521,0.69143390,0.17589055,15
0.5B,UCP-Clarify,150,3,0.53076923,0.40904687,0.40904687,0.14084507,0.07692308,0.83333333,0.64908207,0.69975569,0.16565591,12
0.5B,UCP-Clarify,150,4,0.54615385,0.43336288,0.43336288,0.18055556,0.10000000,0.92857143,0.64900124,0.69844207,0.27029091,14
0.5B,UCP-Clarify,150,5,0.55000000,0.44520436,0.44520436,0.20408163,0.11538462,0.88235294,0.65059847,0.69371479,0.20980256,17
0.5B,Vanilla-DPO,50,1,0.50384615,0.34182382,0.34182382,0.01526718,0.00769231,1.00000000,0.63913117,0.70694697,0.00000000,1
0.5B,Vanilla-DPO,50,2,0.50769231,0.35020306,0.35020306,0.03030303,0.01538462,1.00000000,0.63187095,0.71644568,0.36305296,2
0.5B,Vanilla-DPO,50,3,0.50000000,0.33333333,0.33333333,0.00000000,0.00000000,0.00000000,0.64134943,0.70933294,0.00000000,0
0.5B,Vanilla-DPO,50,4,0.50769231,0.35020306,0.35020306,0.03030303,0.01538462,1.00000000,0.64285402,0.70582850,0.00000000,2
0.5B,Vanilla-DPO,50,5,0.50769231,0.35020306,0.35020306,0.03030303,0.01538462,1.00000000,0.63662246,0.70560220,0.02652566,2
0.5B,Vanilla-DPO,100,1,0.55000000,0.46230667,0.46230667,0.24516129,0.14615385,0.76000000,0.62864494,0.67985704,0.34622903,25
0.5B,Vanilla-DPO,100,2,0.54615385,0.45151602,0.45151602,0.22368421,0.13076923,0.77272727,0.63269553,0.67185899,0.26338970,22
0.5B,Vanilla-DPO,100,3,0.54230769,0.44029378,0.44029378,0.20134228,0.11538462,0.78947368,0.63824791,0.67627322,0.20730621,19
0.5B,Vanilla-DPO,100,4,0.55769231,0.47149801,0.47149801,0.25806452,0.15384615,0.80000000,0.62446605,0.66946115,0.29188074,25
0.5B,Vanilla-DPO,100,5,0.53846154,0.43783784,0.43783784,0.20000000,0.11538462,0.75000000,0.62392598,0.67814956,0.25858112,20
0.5B,Vanilla-DPO,150,1,0.55769231,0.45468804,0.45468804,0.21768707,0.12307692,0.94117647,0.65116733,0.70027522,0.28338195,17
0.5B,Vanilla-DPO,150,2,0.53846154,0.41873463,0.41873463,0.15492958,0.08461538,0.91666667,0.65135021,0.70742272,0.19529871,12
0.5B,Vanilla-DPO,150,3,0.53461538,0.42623698,0.42623698,0.17687075,0.10000000,0.76470588,0.65173197,0.70654589,0.34477900,17
0.5B,Vanilla-DPO,150,4,0.55000000,0.44520436,0.44520436,0.20408163,0.11538462,0.88235294,0.65118628,0.69796715,0.21775548,17
0.5B,Vanilla-DPO,150,5,0.53846154,0.42861329,0.42861329,0.17808219,0.10000000,0.81250000,0.64639034,0.69206289,0.27081122,16
0.5B,IPO,50,1,0.50769231,0.35020306,0.35020306,0.03030303,0.01538462,1.00000000,0.63430564,0.70461243,0.00000000,2
0.5B,IPO,50,2,0.50769231,0.35020306,0.35020306,0.03030303,0.01538462,1.00000000,0.64051904,0.70502465,0.00000000,2
0.5B,IPO,50,3,0.50769231,0.35020306,0.35020306,0.03030303,0.01538462,1.00000000,0.64466619,0.71025180,0.00000000,2
0.5B,IPO,50,4,0.51153846,0.35847370,0.35847370,0.04511278,0.02307692,1.00000000,0.63965134,0.69562084,0.00000000,3
0.5B,IPO,50,5,0.50384615,0.34182382,0.34182382,0.01526718,0.00769231,1.00000000,0.63301872,0.71539911,0.00000000,1
0.5B,IPO,100,1,0.56923077,0.49444444,0.49444444,0.30000000,0.18461538,0.80000000,0.63736670,0.66073842,0.18935312,30
0.5B,IPO,100,2,0.57692308,0.50347222,0.50347222,0.31250000,0.19230769,0.83333333,0.63499418,0.66178137,0.26317996,30
0.5B,IPO,100,3,0.55769231,0.47149801,0.47149801,0.25806452,0.15384615,0.80000000,0.63571423,0.68322277,0.34531602,25
0.5B,IPO,100,4,0.57692308,0.50347222,0.50347222,0.31250000,0.19230769,0.83333333,0.63802282,0.67121235,0.26607552,30
0.5B,IPO,100,5,0.57307692,0.49360425,0.49360425,0.29299363,0.17692308,0.85185185,0.63506786,0.66125471,0.25953259,27
0.5B,IPO,150,1,0.56153846,0.46594595,0.46594595,0.24000000,0.13846154,0.90000000,0.64170321,0.68704004,0.18521781,20
0.5B,IPO,150,2,0.55000000,0.44055172,0.44055172,0.19310345,0.10769231,0.93333333,0.64222739,0.69595219,0.21973953,15
0.5B,IPO,150,3,0.58076923,0.49907203,0.49907203,0.29677419,0.17692308,0.92000000,0.64489983,0.67855823,0.23895825,25
0.5B,IPO,150,4,0.55769231,0.45910744,0.45910744,0.22818792,0.13076923,0.89473684,0.64784305,0.70143946,0.30922248,19
0.5B,IPO,150,5,0.57307692,0.48602874,0.48602874,0.27450980,0.16153846,0.91304348,0.64191379,0.67940245,0.24567054,23
0.5B,SimPO,50,1,0.50384615,0.34182382,0.34182382,0.01526718,0.00769231,1.00000000,0.64881812,0.70514219,0.00000000,1
0.5B,SimPO,50,2,0.50384615,0.34182382,0.34182382,0.01526718,0.00769231,1.00000000,0.64215337,0.70360395,0.00000000,1
0.5B,SimPO,50,3,0.51153846,0.35847370,0.35847370,0.04511278,0.02307692,1.00000000,0.64318225,0.71317590,0.01768377,3
0.5B,SimPO,50,4,0.50384615,0.34182382,0.34182382,0.01526718,0.00769231,1.00000000,0.63745303,0.71206665,0.00000000,1
0.5B,SimPO,50,5,0.50769231,0.35020306,0.35020306,0.03030303,0.01538462,1.00000000,0.63557597,0.70465061,0.00000000,2
0.5B,SimPO,100,1,0.58076923,0.50626318,0.50626318,0.31446541,0.19230769,0.86206897,0.63647285,0.65629588,0.24186761,29
0.5B,SimPO,100,2,0.56538462,0.48814439,0.48814439,0.28930818,0.17692308,0.79310345,0.63593448,0.65644155,0.20735927,29
0.5B,SimPO,100,3,0.56923077,0.49087349,0.49087349,0.29113924,0.17692308,0.82142857,0.63516688,0.65910873,0.19303345,28
0.5B,SimPO,100,4,0.58461538,0.50549451,0.50549451,0.30769231,0.18461538,0.92307692,0.62652154,0.66803231,0.24107639,26
0.5B,SimPO,100,5,0.54615385,0.45568093,0.45568093,0.23376623,0.13846154,0.75000000,0.63385404,0.67404313,0.28061208,24
0.5B,SimPO,150,1,0.57692308,0.49996503,0.49996503,0.30379747,0.18461538,0.85714286,0.64458785,0.68610468,0.29110112,28
0.5B,SimPO,150,2,0.57692308,0.50347222,0.50347222,0.31250000,0.19230769,0.83333333,0.64998185,0.67151566,0.23390904,30
0.5B,SimPO,150,3,0.55000000,0.47369332,0.47369332,0.27329193,0.16923077,0.70967742,0.64783248,0.65911257,0.16641885,31
0.5B,SimPO,150,4,0.57692308,0.49633700,0.49633700,0.29487179,0.17692308,0.88461538,0.65419866,0.67752577,0.18733011,26
0.5B,SimPO,150,5,0.56923077,0.49444444,0.49444444,0.30000000,0.18461538,0.80000000,0.65537142,0.68359479,0.27780217,30
0.5B,ORPO,50,1,0.50384615,0.34182382,0.34182382,0.01526718,0.00769231,1.00000000,0.63809202,0.70545078,0.00000000,1
0.5B,ORPO,50,2,0.50000000,0.33333333,0.33333333,0.00000000,0.00000000,0.00000000,0.64208091,0.70472102,0.00000000,0
0.5B,ORPO,50,3,0.50384615,0.34182382,0.34182382,0.01526718,0.00769231,1.00000000,0.63340439,0.70632627,0.00000000,1
0.5B,ORPO,50,4,0.50769231,0.35020306,0.35020306,0.03030303,0.01538462,1.00000000,0.64141162,0.71266668,0.15919259,2
0.5B,ORPO,50,5,0.50384615,0.34182382,0.34182382,0.01526718,0.00769231,1.00000000,0.63334542,0.70874825,0.00000000,1
0.5B,ORPO,100,1,0.58461538,0.50905658,0.50905658,0.31645570,0.19230769,0.89285714,0.63421761,0.66988584,0.23804864,28
0.5B,ORPO,100,2,0.54230769,0.44898577,0.44898577,0.22222222,0.13076923,0.73913043,0.64148105,0.67092782,0.16295880,23
0.5B,ORPO,100,3,0.55769231,0.47149801,0.47149801,0.25806452,0.15384615,0.80000000,0.64151719,0.66625259,0.16660098,25
0.5B,ORPO,100,4,0.55769231,0.47149801,0.47149801,0.25806452,0.15384615,0.80000000,0.63758602,0.67153683,0.25145025,25
0.5B,ORPO,100,5,0.57307692,0.50068340,0.50068340,0.31055901,0.19230769,0.80645161,0.62690166,0.64800285,0.16637977,31
0.5B,ORPO,150,1,0.56538462,0.48068935,0.48068935,0.27096774,0.16153846,0.84000000,0.64261802,0.68588511,0.27335771,25
0.5B,ORPO,150,2,0.56538462,0.46851426,0.46851426,0.24161074,0.13846154,0.94736842,0.64833134,0.69082557,0.26227970,19
0.5B,ORPO,150,3,0.53846154,0.42861329,0.42861329,0.17808219,0.10000000,0.81250000,0.64376413,0.70294328,0.33866449,16
0.5B,ORPO,150,4,0.55384615,0.45657658,0.45657658,0.22666667,0.13076923,0.85000000,0.64679502,0.68962635,0.24207653,20
0.5B,ORPO,150,5,0.56538462,0.47676800,0.47676800,0.26143791,0.15384615,0.86956522,0.65223677,0.68957102,0.29441520,23
1.5B,SFT,50,1,0.53076923,0.40904687,0.40904687,0.14084507,0.07692308,0.83333333,0.65865299,0.73861533,0.33367620,12
1.5B,SFT,50,2,0.52307692,0.39398496,0.39398496,0.11428571,0.06153846,0.80000000,0.66241094,0.72941982,0.42731177,10
1.5B,SFT,50,3,0.51923077,0.38631772,0.38631772,0.10071942,0.05384615,0.77777778,0.66921960,0.73491119,0.30258117,9
1.5B,SFT,50,4,0.52307692,0.39398496,0.39398496,0.11428571,0.06153846,0.80000000,0.66281289,0.74113629,0.48251364,10
1.5B,SFT,50,5,0.52692308,0.40680010,0.40680010,0.13986014,0.07692308,0.76923077,0.65046789,0.72733391,0.31759294,13
1.5B,SFT,100,1,0.54230769,0.42609115,0.42609115,0.16783217,0.09230769,0.92307692,0.67484523,0.73562990,0.21048199,13
1.5B,SFT,100,2,0.54615385,0.43813640,0.43813640,0.19178082,0.10769231,0.87500000,0.67368183,0.73590360,0.22918616,16
1.5B,SFT,100,3,0.54615385,0.44274920,0.44274920,0.20270270,0.11538462,0.83333333,0.67452561,0.73261692,0.19846961,18
1.5B,SFT,100,4,0.55000000,0.44520436,0.44520436,0.20408163,0.11538462,0.88235294,0.66553796,0.73425893,0.30003085,17
1.5B,SFT,100,5,0.54615385,0.43813640,0.43813640,0.19178082,0.10769231,0.87500000,0.66408670,0.73157007,0.19752081,16
1.5B,SFT,150,1,0.58461538,0.50905658,0.50905658,0.31645570,0.19230769,0.89285714,0.66978476,0.70978973,0.26264988,28
1.5B,SFT,150,2,0.57307692,0.50068340,0.50068340,0.31055901,0.19230769,0.80645161,0.67262197,0.70033066,0.18345207,31
1.5B,SFT,150,3,0.60000000,0.53376095,0.53376095,0.35802469,0.22307692,0.90625000,0.66462282,0.68187912,0.17520311,32
1.5B,SFT,150,4,0.59615385,0.52767349,0.52767349,0.34782609,0.21538462,0.90322581,0.65657334,0.70797184,0.25806035,31
1.5B,SFT,150,5,0.60000000,0.53376095,0.53376095,0.35802469,0.22307692,0.90625000,0.66847457,0.70177142,0.25351662,32
1.5B,UCP-Clarify,50,1,0.52692308,0.40156066,0.40156066,0.12765957,0.06923077,0.81818182,0.66272100,0.72058789,0.31912156,11
1.5B,UCP-Clarify,50,2,0.51923077,0.38631772,0.38631772,0.10071942,0.05384615,0.77777778,0.66279919,0.73044488,0.53101602,9
1.5B,UCP-Clarify,50,3,0.52692308,0.40156066,0.40156066,0.12765957,0.06923077,0.81818182,0.66006719,0.73184487,0.33130615,11
1.5B,UCP-Clarify,50,4,0.52692308,0.39613663,0.39613663,0.11510791,0.06153846,0.88888889,0.65932623,0.74041486,0.42516365,9
1.5B,UCP-Clarify,50,5,0.52692308,0.39613663,0.39613663,0.11510791,0.06153846,0.88888889,0.66257420,0.73244276,0.30272265,9
1.5B,UCP-Clarify,100,1,0.54230769,0.44029378,0.44029378,0.20134228,0.11538462,0.78947368,0.67099959,0.72371871,0.19060938,19
1.5B,UCP-Clarify,100,2,0.54230769,0.43572067,0.43572067,0.19047619,0.10769231,0.82352941,0.66905839,0.72294162,0.20425508,17
1.5B,UCP-Clarify,100,3,0.54615385,0.44720721,0.44720721,0.21333333,0.12307692,0.80000000,0.67130665,0.71508334,0.18009860,20
